Subject,Block,Trial,Running_Trial,Selected,Warning,Covered,Action,Outcome,Cum_Outcome
3,4,11,86,1,1,1,1,-3,121
3,4,12,87,6,1,1,1,-4,117
3,4,13,88,2,1,1,0,0,117
3,4,14,89,1,1,1,0,0,117
3,4,15,90,3,1,0,0,0,117
3,4,16,91,3,1,1,1,-7,110
3,4,17,92,1,1,1,0,0,110
3,4,18,93,4,1,1,1,-10,100
3,4,19,94,1,1,1,0,0,100
3,4,20,95,3,1,0,1,7,107
3,4,21,96,3,1,1,0,0,107
3,4,22,97,3,1,1,0,0,107
3,4,23,98,3,1,1,1,-7,100
3,4,24,99,2,0,0,1,6,106
3,4,25,100,2,0,0,1,6,112
4,1,1,1,2,1,1,1,-5,-5
4,1,2,2,3,1,0,1,9,4
4,1,3,3,3,1,0,1,9,13
4,1,4,4,3,1,0,1,9,22
4,1,5,5,3,1,1,1,-9,13
4,1,6,6,4,1,1,0,0,13
4,1,7,7,6,0,0,0,0,13
4,1,8,8,1,1,1,1,-1,12
4,1,9,9,3,1,0,1,9,21
4,1,10,10,3,1,0,1,9,30
4,1,11,11,3,1,0,1,9,39
4,1,12,12,3,1,0,1,9,48
4,1,13,13,3,1,1,1,-9,39
4,1,14,14,4,1,1,1,-10,29
4,1,15,15,3,1,0,1,9,38
4,1,16,16,3,1,1,1,-9,29
4,1,17,17,3,1,1,1,-9,20
4,1,18,18,3,1,0,0,0,20
4,1,19,19,3,0,0,1,9,29
4,1,20,20,3,1,1,1,-9,20
4,1,21,21,3,1,1,1,-9,11
4,1,22,22,6,0,0,0,0,11
4,1,23,23,6,1,1,1,-5,6
4,1,24,24,3,1,0,0,0,6
4,1,25,25,3,1,1,1,-9,-3
4,2,1,26,4,1,0,0,0,-3
4,2,2,27,1,1,1,1,-3,-6
4,2,3,28,4,1,0,1,8,2
4,2,4,29,4,1,0,0,0,2
4,2,5,30,4,1,0,1,8,10
4,2,6,31,4,1,1,0,0,10
4,2,7,32,4,0,0,1,8,18
4,2,8,33,4,1,1,1,-9,9
4,2,9,34,2,0,0,1,8,17
4,2,10,35,2,0,0,1,8,25
4,2,11,36,2,1,0,1,8,33
4,2,12,37,2,1,0,1,8,41
4,2,13,38,2,1,1,1,-5,36
4,2,14,39,2,1,0,1,8,44
4,2,15,40,2,1,0,0,0,44
4,2,16,41,4,1,0,0,0,44
4,2,17,42,2,1,1,1,-5,39
4,2,18,43,2,1,1,0,0,39
4,2,19,44,1,1,0,0,0,39
4,2,20,45,4,0,0,1,8,47
4,2,21,46,2,1,0,1,8,55
4,2,22,47,4,1,1,0,0,55
4,2,23,48,2,1,1,1,-5,50
4,2,24,49,4,1,0,1,8,58
4,2,25,50,4,1,0,1,8,66
4,3,1,51,1,1,0,1,3,69
4,3,2,52,1,0,0,1,3,72
4,3,3,53,1,0,0,1,3,75
4,3,4,54,1,1,0,1,3,78
4,3,5,55,6,0,0,1,2,80
4,3,6,56,1,1,0,1,3,83
4,3,7,57,1,0,0,1,3,86
4,3,8,58,1,1,1,1,-3,83
4,3,9,59,6,0,0,1,2,85
4,3,10,60,2,0,0,1,9,94
4,3,11,61,2,1,1,1,-4,90
4,3,12,62,6,0,0,1,2,92
4,3,13,63,6,0,0,1,2,94
4,3,14,64,1,0,0,1,3,97
4,3,15,65,1,0,0,1,3,100
4,3,16,66,2,1,0,1,9,109
4,3,17,67,2,1,1,1,-4,105
4,3,18,68,1,1,1,1,-3,102
4,3,19,69,6,0,0,1,2,104
4,3,20,70,6,0,0,1,2,106
4,3,21,71,2,1,1,1,-4,102
4,3,22,72,6,0,0,1,2,104
4,3,23,73,2,1,1,1,-4,100
4,3,24,74,6,1,0,1,2,102
4,3,25,75,5,1,0,1,3,105
4,4,1,76,5,1,1,1,-9,96
4,4,2,77,1,1,1,1,-3,93
4,4,3,78,6,1,1,0,0,93
4,4,4,79,2,1,1,1,-3,90
4,4,5,80,4,0,0,1,5,95
4,4,6,81,4,1,1,1,-10,85
4,4,7,82,6,0,0,1,3,88
4,4,8,83,6,1,0,0,0,88
4,4,9,84,6,1,1,0,0,88
4,4,10,85,6,1,0,0,0,88
4,4,11,86,6,0,0,1,3,91
4,4,12,87,6,1,1,1,-4,87
4,4,13,88,3,0,0,1,7,94
4,4,14,89,3,1,0,0,0,94
4,4,15,90,3,1,0,0,0,94
4,4,16,91,3,1,1,1,-7,87
4,4,17,92,6,1,0,1,3,90
4,4,18,93,6,1,0,1,3,93
4,4,19,94,4,1,0,1,5,98
4,4,20,95,4,1,0,0,0,98
4,4,21,96,4,1,0,0,0,98
4,4,22,97,4,1,0,1,5,103
4,4,23,98,4,1,0,1,5,108
